,title,date,location,description,category,url,coordenadasLocalidad
0,Telón 2019: 'TheRoomToBe',2019-11-11 20:30:00,"Paraninfo, la laguna","Durante esta semana del 11 al 14 de noviembre de 2019, en el Paraninfo de la Universidad de La Laguna, podremos ver un interesantísimo Ciclo de Teatro Canario a cargo de las compañías, Burka, Delirium, Impulso, Laboratorio Galdós y Bolina Títeres. Esta última ofrece el miércoles 13 a las 10:30 una función para escolares.",drama,https://www.lagenda.org/programacion/telon-2019-theroomtobe-14200,"[28.49, -16.32]"
1,Taller. El Arte del microrrelato (IV),2019-11-11 18:30:00,"Ámbito Cultural El Corte Inglés, santa cruz","El taller, el cual ya se encuentra con todas las plazas cubiertas, será impartido por Antonio López Ortega, narrador, ensayista, crítico y reconocido promotor cultural, también autor de diversas publicaciones ligadas a la narrativa.",literatura y poesía,https://www.lagenda.org/programacion/taller-el-arte-del-microrrelato-iv-13907,"[28.46, -16.25]"
2,Taller de música y expresión,2019-11-05 17:30:00,"Biblioteca Pública del Estado, santa cruz",Taller para adultos cuyo objetivo es facilitar la interrelación con los demás y el autoconocimiento usando técnicas propias de la Musicoterapia.,musica,https://www.lagenda.org/programacion/taller-de-musica-expresion-cristina-diaz-r-noviembre-2019-14060,"[28.46, -16.25]"
3,Taller de música y expresión,2019-11-12 17:30:00,"Biblioteca Pública del Estado, santa cruz",Taller para adultos cuyo objetivo es facilitar la interrelación con los demás y el autoconocimiento usando técnicas propias de la Musicoterapia.,musica,https://www.lagenda.org/programacion/taller-de-musica-expresion-cristina-diaz-r-noviembre-2019-14060,"[28.46, -16.25]"
4,Taller de música y expresión,2019-11-19 17:30:00,"Biblioteca Pública del Estado, santa cruz",Taller para adultos cuyo objetivo es facilitar la interrelación con los demás y el autoconocimiento usando técnicas propias de la Musicoterapia.,musica,https://www.lagenda.org/programacion/taller-de-musica-expresion-cristina-diaz-r-noviembre-2019-14060,"[28.46, -16.25]"
5,Taller de música y expresión,2019-11-26 17:30:00,"Biblioteca Pública del Estado, santa cruz",Taller para adultos cuyo objetivo es facilitar la interrelación con los demás y el autoconocimiento usando técnicas propias de la Musicoterapia.,musica,https://www.lagenda.org/programacion/taller-de-musica-expresion-cristina-diaz-r-noviembre-2019-14060,"[28.46, -16.25]"
6,'Gramola Music Show',2019-11-05 22:00:00,"El Rincón de Tintín, la laguna","El micro abierto Gramola Music Show regresa todos los martes. Trae tu arte al escenario, sea cantar, tocar música, bailar, hacer monólogos o disfruta de una gran noche con la gran selección de cervezas del Tintín y el invitado especial de la noche. Organizado por los Swingvergüenzas.",alternativa,https://www.lagenda.org/programacion/gramola-music-show-rincon-tintin-la-laguna-micro-abierto-noviembre-2019-14083,"[28.49, -16.32]"
7,'Gramola Music Show',2019-11-12 22:00:00,"El Rincón de Tintín, la laguna","El micro abierto Gramola Music Show regresa todos los martes. Trae tu arte al escenario, sea cantar, tocar música, bailar, hacer monólogos o disfruta de una gran noche con la gran selección de cervezas del Tintín y el invitado especial de la noche. Organizado por los Swingvergüenzas.",alternativa,https://www.lagenda.org/programacion/gramola-music-show-rincon-tintin-la-laguna-micro-abierto-noviembre-2019-14083,"[28.49, -16.32]"
8,'Gramola Music Show',2019-11-19 22:00:00,"El Rincón de Tintín, la laguna","El micro abierto Gramola Music Show regresa todos los martes. Trae tu arte al escenario, sea cantar, tocar música, bailar, hacer monólogos o disfruta de una gran noche con la gran selección de cervezas del Tintín y el invitado especial de la noche. Organizado por los Swingvergüenzas.",alternativa,https://www.lagenda.org/programacion/gramola-music-show-rincon-tintin-la-laguna-micro-abierto-noviembre-2019-14083,"[28.49, -16.32]"
9,'Gramola Music Show',2019-11-26 22:00:00,"El Rincón de Tintín, la laguna","El micro abierto Gramola Music Show regresa todos los martes. Trae tu arte al escenario, sea cantar, tocar música, bailar, hacer monólogos o disfruta de una gran noche con la gran selección de cervezas del Tintín y el invitado especial de la noche. Organizado por los Swingvergüenzas.",alternativa,https://www.lagenda.org/programacion/gramola-music-show-rincon-tintin-la-laguna-micro-abierto-noviembre-2019-14083,"[28.49, -16.32]"
10,Telón 2019: Proyecto Fausto,2019-11-12 20:30:00,"Paraninfo, la laguna","Inspirado en el caso del pesquero canario Fausto, un barco que en 1968 desapareció de forma totalmente inexplicable mientras cubría la ruta entre las islas de El Hierro y La Palma con tres pescadores y un pasajero a bordo. Una historia contada a través de la voz de cuatro mujeres, condenadas a la soledad del que espera. Obra enmarcada dentro del Festival de Artes Escénicas Telón,",drama,https://www.lagenda.org/programacion/proyecto-fausto-delirium-teatro-paraninfo-ull-noviembre-2019-14075,"[28.49, -16.32]"
11,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-12 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
12,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-13 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
13,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-14 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
14,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-15 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
15,Charla Viajeros: Cuba,2019-11-12 19:00:00,"Ámbito Cultural El Corte Inglés, santa cruz","Si te apasiona viajar, descubrir lugares exóticos, desconocidos y llenos de atractivos no puedes perderte el ciclo Viajeros del Ámbito Cultural",viajes,https://www.lagenda.org/programacion/charla-viajeros-cuba-13908,"[28.46, -16.25]"
16,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-12 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
17,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-13 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
18,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-14 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
19,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-15 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]"
20,Festival de Cortos La Orotava 2019: 'Enlazados',2019-11-13 20:30:00,"Auditorio Teobaldo Power, la orotava",Proyección de cortometrajes de Danzattack. Festival de Danza y CineDanza dentro del festival de Cortos La Orotava.,danza,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-enlazados-danzattack-auditorio-teobaldo-power-noviembre,"[28.39, -16.52]"
21,Marta Solís,2019-11-13 20:30:00,"La Casona, santa ursula",Concierto de la cantautora Marta Solís con banda.  La premiada en el Festival de la Canción de Benidorm en 2002 brindará su mirada de la canción de autor.,cantautor,https://www.lagenda.org/programacion/marta-solis-santa-ursula-casona-san-luis-noviembre-2019-concierto-13959,"[28.42, -16.49]"
22,Otoño Cultural 2019: Lara-Clare Bourdeaux,2019-11-13 20:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz",Concierto Galardonados Premio de Música María Orán 2019 que organiza anualmente la Fundación CajaCanarias con la soprano inglesa Lara-Clare Bourdeaux,clasica,https://www.lagenda.org/programacion/otono-cultural-2019-lara-clare-bourdeaux-cajacanarias-santa-cruz-12907,"[28.46, -16.25]"
23,Dejarse leer: Lecturas sobre cuerpo y filosofía en la Biblioteca,2019-11-13 19:00:00,"Biblioteca Municipal de La Laguna, la laguna","Un proyecto simple y complejo a la vez donde el cuerpo y la voz de quien lee y de quien escucha componen una suerte de coreografías minúsculas. Un encuentro en torno a textos seleccionados donde la filosofía, el cuerpo, la escena, lo público, la presencia, la danza, la política o la ciudad se entrecruzan ofreciendo lecturas que son atendidas como conciertos en los que el público escucha y se deja activamente leer en un ejercicio de resistencia cultural y de disposición hacia nuevos conocimientos desde lo cercano, desde la experiencia antigua e inocente de dejarse acunar y sorprender por las palabras y las narraciones de otros.",literatura y poesía,https://www.lagenda.org/programacion/dejarse-leer-lecturas-sobre-cuerpo-filosofia-biblioteca-laguna-noviembre-2019-14061,"[28.49, -16.32]"
24,Exposaldo 2019,2019-11-13 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]"
25,Exposaldo 2019,2019-11-14 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]"
26,Exposaldo 2019,2019-11-15 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]"
27,Exposaldo 2019,2019-11-16 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]"
28,Exposaldo 2019,2019-11-17 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]"
29,Jornada de clausura Taller de escritura 2019,2019-11-13 19:00:00,"Ámbito Cultural El Corte Inglés, santa cruz",,literatura y poesía,https://www.lagenda.org/programacion/jornada-de-clausura-taller-de-escritura-2019-13909,"[28.46, -16.25]"
30,Telón 2019: 'Pogüerful' de Bibiana Monje,2019-11-13 20:30:00,"Sala Timanfaya, puerto de la cruz","Pogüerful es una comedia dramática teatral (multidisciplinar) con tintes absurdos y surrealistas, cuyos temas principales son el potencial humano, la forma de vida occidental contemporánea y la magia protagonizada por la actriz canaria Bibiana Monje. Obra dentro del festival de Artes Escénicas de Tenerife telón 2019.",comedia,https://www.lagenda.org/programacion/poguerful-bibiana-monje-paraninfo-ull-telon-noviembre-2019-14079,"[28.41, -16.54]"
31,Presentación: 'Relatos',2019-11-13 18:00:00,"MAC-Casa Elder, santa cruz","Presentación de la obra de Alberto Omar Walls 'Relatos'. iIntervendrán junto al autor, los escritores Felicidad Batista, Jose Luis Oliva y Masaki Hatomi.",literatura y poesía,https://www.lagenda.org/programacion/presentacion-relatos-alberto-omar-walls-sala-mac-santa-cruz-noviembre-2019-14178,"[28.46, -16.25]"
32,VIII Edición 'Sonidos de Noviembre',2019-11-06 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
33,VIII Edición 'Sonidos de Noviembre',2019-11-13 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
34,VIII Edición 'Sonidos de Noviembre',2019-11-16 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
35,VIII Edición 'Sonidos de Noviembre',2019-11-17 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
36,VIII Edición 'Sonidos de Noviembre',2019-11-20 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
37,VIII Edición 'Sonidos de Noviembre',2019-11-24 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
38,VIII Edición 'Sonidos de Noviembre',2019-11-27 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]"
39,'Una leyenda llamada Los Panchos',2019-11-13 20:30:00,"Teatro Leal, la laguna","Rafael Basurto Lara, último integrante original del trío, nos cuenta la historia de su agrupación, a través de su voz y arropado por imagen de archivo, nos relata esta historia de 75 años. El espectáculo musical, pretende llegar al corazón de todos aquellos que los aplaudieron y despertar el romanticismo y admiración en tantos jóvenes sedientos del clásico bolero romántico.",latina,https://www.lagenda.org/programacion/rafael-basurto-una-leyenda-llamada-los-panchos-75-aniversario-13895,"[28.49, -16.32]"
40,Afrotopos. Hacia una utopía africana,2019-08-02 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
41,Afrotopos. Hacia una utopía africana,2019-08-03 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
42,Afrotopos. Hacia una utopía africana,2019-08-04 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
43,Afrotopos. Hacia una utopía africana,2019-08-05 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
44,Afrotopos. Hacia una utopía africana,2019-08-06 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
45,Afrotopos. Hacia una utopía africana,2019-08-07 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
46,Afrotopos. Hacia una utopía africana,2019-08-08 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
